ResponseId,n_subtypes,Subtype,Name,Attributes
R_2AZ6s7FRS4wbwdm,7,Subtype01,me at home alone,"Comfortable,Disorganised,Interested,Irresponsible"
R_2AZ6s7FRS4wbwdm,7,Subtype02,me with my family,"Communicative,Friendly,Needed,Optimistic"
R_2AZ6s7FRS4wbwdm,7,Subtype03,me with close friends,"Comfortable,Communicative,Energetic,Friendly"
R_2AZ6s7FRS4wbwdm,7,Subtype04,me with not so close friends,"Inferior,Interested,Outgoing"
R_2AZ6s7FRS4wbwdm,7,Subtype05,me at work,"Capable,Energetic,Hardworking,Organised"
R_2AZ6s7FRS4wbwdm,7,Subtype06,me with men,"Confident,Friendly,Lovable,Outgoing"
R_2AZ6s7FRS4wbwdm,7,Subtype07,me alone outside,Friendly
R_WxFL7EQ3fjgV7Gh,3,Subtype01,With my Family,"Capable,Comfortable,Energetic,Friendly,Lovable,Optimistic,Organised"
R_WxFL7EQ3fjgV7Gh,3,Subtype02,When at College,"Capable,Energetic,Friendly,Mature,Organised,Outgoing"
R_WxFL7EQ3fjgV7Gh,3,Subtype03,Around my old friends from high school,"Fun and Entertaining,Happy,Intelligent,Interested,Outgoing"
R_3QSJDixEPSxlFqp,3,Subtype01,Me alone,"Capable,Indecisive,Insecure,Isolated,Lazy,Optimistic,Tense"
R_3QSJDixEPSxlFqp,3,Subtype02,Me at work,"Capable,Comfortable,Communicative,Confident,Energetic,Friendly,Fun and Entertaining,Happy,Hardworking,Intelligent,Interested,Mature,Optimistic,Organised,Successful"
R_3QSJDixEPSxlFqp,3,Subtype03,Me with family,"Capable,Comfortable,Confident,Energetic,Friendly,Happy,Lovable,Mature,Successful"
R_USc3yvg0dKWC2uR,6,Subtype01,me at work,"Capable,Comfortable,Communicative,Confident,Energetic,Friendly,Hardworking,Independent,Intelligent,Mature,Needed,Organised"
R_USc3yvg0dKWC2uR,6,Subtype02,me alone,"Comfortable,Indecisive,Independent,Insecure,Interested,Isolated,Lazy,Mature,Organised"
R_USc3yvg0dKWC2uR,6,Subtype03,me with my partner,"Capable,Comfortable,Communicative,Confident,Friendly,Giving,Happy,Independent,Interested,Lovable,Mature,Needed,Outgoing"
R_USc3yvg0dKWC2uR,6,Subtype04,me at dance class,"Communicative,Energetic,Friendly,Happy,Indecisive,Lovable,Optimistic,Outgoing"
R_USc3yvg0dKWC2uR,6,Subtype05,me with my family,"Capable,Comfortable,Confident,Friendly,Giving,Intelligent,Lovable,Mature,Needed,Organised,Outgoing,Successful"
R_USc3yvg0dKWC2uR,6,Subtype06,me with some friends,"Energetic,Friendly,Fun and Entertaining,Giving,Indecisive,Inferior,Insecure"
R_2eUqgEpVjAg82DR,8,Subtype01,Me doing music,"Comfortable,Confident,Energetic,Fun and Entertaining,Happy,Hardworking,Mature,Needed,Optimistic,Successful"
R_2eUqgEpVjAg82DR,8,Subtype02,Me as a sibling,"Comfortable,Communicative,Confident,Energetic,Friendly,Fun and Entertaining,Happy,Lovable,Mature,Needed,Optimistic,Tense"
R_2eUqgEpVjAg82DR,8,Subtype03,Me at school,"Capable,Comfortable,Communicative,Confident,Energetic,Friendly,Fun and Entertaining,Happy,Intelligent,Interested,Mature,Optimistic,Organised"
R_2eUqgEpVjAg82DR,8,Subtype04,Me at music school,"Capable,Comfortable,Communicative,Confident,Energetic,Friendly,Fun and Entertaining,Happy,Hardworking,Intelligent,Lovable,Mature,Optimistic,Organised,Successful,Tense"
R_2eUqgEpVjAg82DR,8,Subtype05,Me at home,"Comfortable,Communicative,Confident,Friendly,Fun and Entertaining,Happy,Intelligent,Mature,Optimistic,Organised,Successful,Tense"
R_2eUqgEpVjAg82DR,8,Subtype06,Me as a friend,"Capable,Comfortable,Communicative,Confident,Energetic,Friendly,Fun and Entertaining,Giving,Happy,Hardworking,Intelligent,Interested,Lovable,Mature,Needed,Optimistic,Successful,Tense"
R_2eUqgEpVjAg82DR,8,Subtype07,Me as a romantic partner,"Capable,Comfortable,Communicative,Confident,Disagreeing,Friendly,Fun and Entertaining,Giving,Happy,Interested,Lovable,Mature,Optimistic,Tense"
R_2eUqgEpVjAg82DR,8,Subtype08,Me as a speaker,"Capable,Comfortable,Communicative,Confident,Energetic,Friendly,Fun and Entertaining,Happy,Hardworking,Intelligent,Interested,Mature,Optimistic,Organised,Successful,Tense"
R_2E0RmTYNTx00JPO,15,Subtype01,Me at home,"Comfortable,Communicative,Confident,Energetic,Friendly,Fun and Entertaining,Giving,Happy,Hardworking,Independent,Lovable,Mature,Organised"
R_2E0RmTYNTx00JPO,15,Subtype02,Me at work,"Capable,Communicative,Confident,Energetic,Friendly,Fun and Entertaining,Giving,Happy,Hardworking,Independent,Intelligent,Interested,Optimistic,Organised,Outgoing,Successful"
R_2E0RmTYNTx00JPO,15,Subtype03,Me playing music,"Energetic,Fun and Entertaining,Happy,Hardworking,Interested,Optimistic,Self-centered"
R_2E0RmTYNTx00JPO,15,Subtype04,Me drawing,"Capable,Comfortable,Confident,Fun and Entertaining,Giving,Happy,Organised"
R_2E0RmTYNTx00JPO,15,Subtype05,Me as a friend,"Capable,Comfortable,Communicative,Confident,Energetic,Friendly,Giving,Happy,Hardworking,Intelligent,Mature,Optimistic,Organised,Outgoing"
R_2E0RmTYNTx00JPO,15,Subtype06,Me with kids,"Capable,Friendly,Fun and Entertaining,Giving,Hardworking,Intelligent,Organised,Successful"
R_2E0RmTYNTx00JPO,15,Subtype07,Me as a partner,"Capable,Comfortable,Confident,Energetic,Friendly,Fun and Entertaining,Giving,Happy,Hardworking,Insecure,Intelligent,Lovable,Mature,Organised"
R_2E0RmTYNTx00JPO,15,Subtype08,Me as a teacher,"Capable,Communicative,Confident,Energetic,Friendly,Fun and Entertaining,Giving,Happy,Intelligent,Interested,Mature,Successful"
R_2E0RmTYNTx00JPO,15,Subtype09,Me as a student,"Comfortable,Communicative,Confident,Energetic,Hardworking,Intelligent,Interested,Organised,Self-centered,Successful"
R_2E0RmTYNTx00JPO,15,Subtype10,Me as a doter,"Communicative,Energetic,Friendly,Giving,Independent,Insecure,Intelligent,Mature,Organised,Tense"
R_2E0RmTYNTx00JPO,15,Subtype11,Me as a lover,"Comfortable,Communicative,Confident,Energetic,Friendly,Fun and Entertaining,Giving,Happy,Independent,Intelligent,Lovable,Mature"
R_2E0RmTYNTx00JPO,15,Subtype12,Me doing sports,"Capable,Comfortable,Confident,Energetic,Fun and Entertaining,Happy,Hardworking,Independent,Intelligent,Interested,Optimistic"
R_2E0RmTYNTx00JPO,15,Subtype13,Me teaching sports,"Communicative,Confident,Energetic,Friendly,Fun and Entertaining,Giving,Happy,Intelligent,Mature,Organised,Successful"
R_2E0RmTYNTx00JPO,15,Subtype14,Me being successful,"Capable,Comfortable,Confident,Energetic,Fun and Entertaining,Happy,Intelligent,Lovable,Mature,Optimistic,Successful"
R_2E0RmTYNTx00JPO,15,Subtype15,Me failing,"Disagreeing,Disorganised,Incompetent,Indecisive,Insecure,Irresponsible,Sad and Blue,Tense,Uncomfortable,Unloved"
R_42TB4Q8D4YDhxsZ,8,Subtype01,Me with my parents,"Capable,Comfortable,Communicative,Confident,Energetic,Friendly,Giving,Happy,Hardworking,Intelligent,Interested,Lovable,Mature,Needed,Optimistic,Organised,Successful"
R_42TB4Q8D4YDhxsZ,8,Subtype02,Me with my husband,"Capable,Comfortable,Communicative,Confident,Energetic,Friendly,Fun and Entertaining,Giving,Happy,Hardworking,Immature,Intelligent,Interested,Lovable,Mature,Needed,Optimistic,Organised,Successful"
R_42TB4Q8D4YDhxsZ,8,Subtype03,Me at hospital / with healthcare professionals,"Capable,Comfortable,Communicative,Confident,Energetic,Friendly,Happy,Hardworking,Independent,Insecure,Intelligent,Interested,Mature,Needed,Optimistic,Organised,Successful,Tense,Uncomfortable"
R_42TB4Q8D4YDhxsZ,8,Subtype04,Me with friends and family I feel comfortable with,"Capable,Comfortable,Communicative,Confident,Energetic,Friendly,Fun and Entertaining,Giving,Happy,Interested,Lovable,Mature,Needed,Optimistic,Organised,Outgoing,Successful"
R_42TB4Q8D4YDhxsZ,8,Subtype05,Me with people I don't know,"Indecisive,Inferior,Insecure,Interested,Uncomfortable,Weary"
R_42TB4Q8D4YDhxsZ,8,Subtype06,Me at work,"Capable,Comfortable,Communicative,Confident,Energetic,Friendly,Giving,Happy,Hardworking,Independent,Interested,Mature,Organised,Successful"
R_42TB4Q8D4YDhxsZ,8,Subtype07,Me with close friends,"Capable,Comfortable,Communicative,Confident,Disagreeing,Energetic,Friendly,Fun and Entertaining,Giving,Happy,Hardworking,Intelligent,Lovable,Mature,Needed,Optimistic,Organised,Self-centered,Successful"
R_42TB4Q8D4YDhxsZ,8,Subtype08,Me as a carer,"Capable,Comfortable,Communicative,Confident,Energetic,Friendly,Fun and Entertaining,Giving,Happy,Hardworking,Independent,Intelligent,Interested,Lovable,Mature,Needed,Optimistic,Organised,Successful"
R_29uIc1DDixRGQaj,8,Subtype01,im perfectionist,"Confident,Energetic,Friendly,Insecure,Irritable,Lazy,Like a failure,Lovable,Outgoing,Successful"
R_29uIc1DDixRGQaj,8,Subtype02,im romantic,"Happy,Immature,Mature,Needed,Optimistic,Outgoing"
R_29uIc1DDixRGQaj,8,Subtype03,im protector,"Communicative,Confident,Energetic,Hardworking,Hopeless,Incompetent,Successful"
R_29uIc1DDixRGQaj,8,Subtype04,im mediator,"Communicative,Energetic,Hardworking,Inferior,Organised,Successful"
R_29uIc1DDixRGQaj,8,Subtype05,bored at the university,"Isolated,Lazy"
R_29uIc1DDixRGQaj,8,Subtype06,interesting at gym,"Energetic,Friendly,Happy,Interested,Successful"
R_29uIc1DDixRGQaj,8,Subtype07,problematic with social situations,"Irresponsible,Uncomfortable,Worthless"
R_29uIc1DDixRGQaj,8,Subtype08,not indifferent to the people fate,"Comfortable,Indecisive,Insecure,Tense"
R_22QaPZY0GExe2Oc,3,Subtype01,me as father,"Capable,Energetic,Lovable,Mature,Organised"
R_22QaPZY0GExe2Oc,3,Subtype02,me as husband,"Capable,Energetic,Friendly,Happy,Lovable,Outgoing"
R_22QaPZY0GExe2Oc,3,Subtype03,me for me,"Capable,Outgoing,Successful"
R_1pJxls2ac6zdxCJ,14,Subtype01,Me as a husband,"Capable,Disagreeing,Friendly,Happy,Interested,Irritable,Isolated,Lazy,Needed,Weary"
R_1pJxls2ac6zdxCJ,14,Subtype02,Me as a dad,"Capable,Communicative,Confident,Friendly,Immature,Independent,Insecure,Intelligent,Interested,Irritable,Lovable,Needed,Optimistic,Organised,Outgoing,Weary"
R_1pJxls2ac6zdxCJ,14,Subtype03,Me at work (nursing),"Capable,Communicative,Confident,Energetic,Friendly,Fun and Entertaining,Giving,Hardworking,Intelligent,Interested,Mature,Needed,Optimistic,Organised,Successful"
R_1pJxls2ac6zdxCJ,14,Subtype04,Me at work (cctv operator),"Capable,Comfortable,Communicative,Confident,Happy,Independent,Intelligent,Interested,Mature,Needed,Organised,Successful"
R_1pJxls2ac6zdxCJ,14,Subtype05,Me socializing with wife,"Capable,Comfortable,Communicative,Energetic,Friendly,Fun and Entertaining,Happy,Immature,Independent,Lazy,Outgoing,Self-centered"
R_1pJxls2ac6zdxCJ,14,Subtype06,me socializing alone,"Capable,Comfortable,Communicative,Confident,Energetic,Friendly,Fun and Entertaining,Giving,Happy,Independent,Intelligent,Interested,Lovable,Optimistic,Organised,Outgoing,Successful"
R_1pJxls2ac6zdxCJ,14,Subtype07,me playing rugby,"Capable,Comfortable,Communicative,Confident,Energetic,Friendly,Fun and Entertaining,Giving,Happy,Hardworking,Intelligent,Needed,Optimistic,Successful"
R_1pJxls2ac6zdxCJ,14,Subtype08,me at martial arts,"Capable,Comfortable,Confident,Energetic,Happy,Hardworking,Intelligent,Interested,Organised,Self-centered,Successful"
R_1pJxls2ac6zdxCJ,14,Subtype09,me online (twitter),"Capable,Communicative,Confident,Disagreeing,Friendly,Fun and Entertaining,Independent,Intelligent,Irritable,Mature,Outgoing,Weary"
R_1pJxls2ac6zdxCJ,14,Subtype10,me online (facebook),"Disorganised,Indecisive,Irritable,Lazy,Uncomfortable,Weary"
R_1pJxls2ac6zdxCJ,14,Subtype11,me as a brother,"Capable,Confident,Disagreeing,Friendly,Happy,Immature,Irritable,Mature,Organised,Self-centered"
R_1pJxls2ac6zdxCJ,14,Subtype12,me as a son,"Capable,Comfortable,Communicative,Confident,Disagreeing,Friendly,Hopeless,Independent,Interested,Irritable,Mature,Needed,Self-centered,Tense,Uncomfortable"
R_1pJxls2ac6zdxCJ,14,Subtype13,me socailisin with ppl i know,"Capable,Comfortable,Confident,Energetic,Friendly,Fun and Entertaining,Giving,Happy,Immature,Intelligent,Mature,Outgoing,Successful"
R_1pJxls2ac6zdxCJ,14,Subtype14,me socializing with ppl i do not know,"Capable,Comfortable,Communicative,Confident,Friendly,Fun and Entertaining,Happy,Independent,Intelligent,Mature,Optimistic,Organised,Outgoing,Successful"
R_BWknBXR0S1ZOJ4B,4,Subtype01,Me at work (professional services),"Capable,Confident,Energetic,Happy,Hardworking,Intelligent,Mature,Organised,Outgoing"
R_BWknBXR0S1ZOJ4B,4,Subtype02,Me with close friends,"Comfortable,Communicative,Confident,Energetic,Friendly,Fun and Entertaining,Happy,Independent,Intelligent,Self-centered"
R_BWknBXR0S1ZOJ4B,4,Subtype03,Me with work friends,"Confident,Energetic,Friendly,Fun and Entertaining,Interested,Outgoing"
R_BWknBXR0S1ZOJ4B,4,Subtype04,Me with myself,"Intelligent,Lazy,Lovable,Self-centered"
R_2yr3CBPoqtwC0my,7,Subtype01,Mum,"Capable,Comfortable,Confident,Giving,Happy,Interested,Lovable,Needed"
R_2yr3CBPoqtwC0my,7,Subtype02,Employee,"Capable,Hardworking,Intelligent,Needed"
R_2yr3CBPoqtwC0my,7,Subtype03,Daughter,"Insecure,Irritable"
R_2yr3CBPoqtwC0my,7,Subtype04,Friend,"Inferior,Sad and Blue,Unloved"
R_2yr3CBPoqtwC0my,7,Subtype05,Girlfriend,"Isolated,Unloved"
