ResponseId,Subtype_name,Attributes
P1,Helpful,"Giving,Friendly,Capable,Hardworking"
P1,Not always perfect,"Indecisive,Lazy,Isolated,Weary,Sad and Blue,Insecure"
P1,Funny,"Intelligent,Happy,Energetic,Outgoing,Fun and Entertaining,Communicative"
P1,Responsible,"Mature,Independent,Organised,Interested,Hardworking"
P1,Lovable,"Lovable,Needed,Friendly"
P1,Looking at the good in everyone,"Optimistic,Giving,Interested"
P1,Good work ethic,"Hardworking,Capable,Intelligent,Interested,Successful,Confident,Mature,Independent,Organised,Energetic"
P1,Making decisions,"Indecisive,Uncomfortable,Tense,Insecure"
P1,Taking disappointment hard,"Sad and Blue,Insecure,Like a failure,Hopeless,Inferior,Isolated,Incompetent"
P1,Good student,"Intelligent,Interested,Organised,Hardworking"
P1,Talented,"Successful,Capable,Confident,Fun and Entertaining"
